build_id,timestamp,pipeline_id,commit_id,project_type,project_type_name,repo_size_mb,is_monorepo,branch,branch_type,build_type,environment,files_changed,lines_added,lines_deleted,source_files_pct,deps_file_changed,dependency_count,test_files_changed,has_build_stage,has_unit_tests,has_integration_tests,has_e2e_tests,has_deploy_stage,has_docker_build,uses_emulator,parallel_stages,stages_count,has_artifact_publish,is_first_build,cache_available,is_clean_build,time_of_day_hour,memory_gb,cpu_avg_pct,build_time_min,status
build-0011,2024-01-01T13:49:00,pipe-a787e,e4354a120860b30ae2c8755426e3dbf420be6c19,5,ios,367.7,0,main,2,1,2,58,315,100,0.88,0,47,10,1,1,1,0,1,0,1,2,4,1,0,1,1,13,10.07,100.0,206.7,success
build-0012,2024-01-01T10:21:00,pipe-6ee4d,56d42460bbc01be676301b660b5e95c7038bda1b,5,ios,2784.7,1,feature/cache,0,0,0,1,53,23,0.89,0,71,0,1,1,0,1,0,0,0,2,3,0,0,0,0,10,14.59,77.6,163.0,skipped
build-0013,2024-01-01T09:47:00,pipe-6e69e,cec0b0009ad5b55c8ae6055ebe5a015ba14ede16,1,java,1300.9,0,feature/payment,0,0,2,33,246,62,0.76,0,90,4,1,0,1,0,1,0,0,1,3,1,0,1,0,9,7.7,76.2,31.2,running
build-0014,2024-01-01T22:28:00,pipe-718f6,ad7597dff1b81debb6d2c8c89f11c6798a6091f6,2,nodejs,534.7,0,feature/fix,0,1,2,48,929,157,0.76,0,180,11,1,1,0,0,0,0,0,2,2,1,0,1,0,22,2.03,66.1,10.1,skipped
build-0015,2024-01-01T14:09:00,pipe-c01ea,7b70c87353800d944f7f0947f6ffea5810295131,3,react-native,2883.5,0,feature/perf,0,0,0,2,65,22,0.85,0,246,0,1,1,1,0,0,1,0,1,3,0,0,1,0,14,10.31,71.5,39.0,success
build-0016,2024-01-01T07:15:00,pipe-26aa9,53406a054fc3962a1aeb90d309abe5bf69fff2ed,3,react-native,2357.4,1,main,2,1,0,57,1264,538,0.9,0,248,16,1,1,0,1,1,0,0,1,4,1,0,1,0,7,12.54,100.0,133.4,running
build-0017,2024-01-01T09:26:00,pipe-c0953,7a8875885ef1588787814662dda1acfff21423e0,4,android,1249.0,0,master,2,1,0,4,54,24,0.76,0,121,1,1,1,1,1,1,0,1,1,5,1,0,1,0,9,16.56,100.0,136.9,skipped
build-0018,2024-01-01T11:17:00,pipe-8d162,3dc242c85af44379a5ff5cdf10586d9ef70bc83f,1,java,1002.0,0,main,2,1,1,43,65,8,0.69,0,64,9,1,1,1,0,1,0,0,2,4,0,0,1,0,11,5.31,84.7,41.9,success
build-0019,2024-01-01T14:06:00,pipe-8833a,136a08a267962e091e04125963a7ae6fba9e05bf,0,python,419.1,0,master,2,1,1,2,65,23,0.75,0,55,0,1,1,1,0,1,1,0,1,4,0,0,1,1,14,4.14,86.3,86.1,failed
build-0020,2024-01-01T07:23:00,pipe-0557c,1a987dd1afcaae00413ab891c57dbdec19d096e1,2,nodejs,727.3,0,develop,1,0,0,3,360,112,0.8,1,163,0,1,0,1,0,0,1,0,1,2,0,0,1,0,7,3.26,59.7,13.7,skipped
build-0021,2024-01-01T17:44:00,pipe-d4fa6,d3a8feb70aea48bf654c07ecdae48388d9c6e157,0,python,223.4,0,main,2,1,0,18,466,92,0.71,0,46,2,1,1,1,0,1,0,0,2,4,0,0,1,1,17,5.16,58.7,42.9,failed
build-0022,2024-01-01T06:07:00,pipe-16f8d,3ea192bab9ee0d1ab440566ddf4e7c6a59672158,0,python,103.6,0,develop,1,0,1,5,52,15,0.74,0,57,1,1,1,0,0,0,0,0,1,2,0,0,1,0,6,2.41,38.1,5.8,running
build-0023,2024-01-01T13:28:00,pipe-589c4,ea3c2190e0980987fb09425e1828db9dcc257632,1,java,1536.3,1,feature/search,0,0,2,5,21,4,0.94,0,89,0,1,1,1,0,0,0,0,1,3,0,0,1,0,13,9.27,74.7,70.3,success
build-0024,2024-01-01T12:47:00,pipe-936bc,9223c06afc4387e4658da9714922dc41013092d3,4,android,2440.9,0,hotfix/urgent,3,0,0,80,472,193,0.67,0,87,26,1,1,1,0,1,0,1,1,4,1,0,1,0,12,17.15,90.2,49.4,success
build-0025,2024-01-01T08:09:00,pipe-b4bfb,a49e1b34cf406b421e9cf7616221ce349c513f9b,4,android,497.8,0,hotfix/fix,3,0,0,34,1623,675,0.77,0,81,6,1,1,1,1,0,0,1,1,4,0,0,1,0,8,14.7,82.7,76.2,skipped
build-0026,2024-01-01T11:02:00,pipe-c8da1,a21cec571085f74b58c363051351c9d013662505,1,java,1657.3,0,hotfix/urgent,3,0,2,3,8,1,0.93,0,83,1,1,1,1,0,0,1,0,2,3,0,0,1,0,11,8.0,80.2,29.1,skipped
build-0027,2024-01-01T18:03:00,pipe-c9e62,57d0dc07a1176a7e75fb4920c5b23051f87a2b2d,1,java,1836.3,1,feature/mobile,0,0,0,53,1136,130,0.54,0,61,20,1,1,0,0,1,1,0,1,3,0,0,1,0,18,9.24,79.7,25.9,running
build-0028,2024-01-01T21:35:00,pipe-6483a,60d9d6fe508074c86c14a23dfb80104bfa07f9cd,1,java,1269.5,0,develop,1,0,1,15,242,68,0.55,0,79,5,1,1,1,0,0,0,0,1,3,0,0,1,1,21,6.79,75.0,109.7,running
build-0029,2024-01-01T09:15:00,pipe-2eb07,5993ef29cf9cda18b029bc27f70b9427b0e78749,5,ios,2650.0,0,feature/cache,0,0,0,56,314,87,0.72,0,69,14,1,1,0,0,0,0,0,1,2,0,0,1,0,9,11.53,81.1,49.3,running
build-0030,2024-01-01T09:43:00,pipe-23554,45cbba2655d5e2c6330435a29ca7949eadd48d18,0,python,31.4,0,master,2,1,1,7,455,63,0.91,1,39,2,1,1,0,0,1,0,0,1,3,1,1,0,0,9,3.28,37.1,54.5,skipped
build-0031,2024-01-01T22:36:00,pipe-c3816,ce653db437fd1ce179a51f303f2a05d0c5673f56,4,android,4448.4,0,feature/test,0,0,0,57,350,132,0.91,1,117,13,1,1,0,1,0,0,1,1,3,0,0,1,0,22,16.5,82.6,95.5,failed
build-0032,2024-01-01T14:24:00,pipe-dd5f7,c81dc62f78fd5d89d6f040fe9e938513cf438066,0,python,48.7,0,main,2,1,1,5,25,3,0.93,0,43,2,1,1,1,0,1,1,0,2,4,1,0,0,0,14,5.07,73.3,94.0,running
build-0033,2024-01-01T06:37:00,pipe-6bec4,7b8fec7389f11fd571d83ef925360eb6c3e2feff,1,java,92.8,0,master,2,1,1,3,33,11,0.78,0,90,1,1,1,1,0,1,0,0,3,4,1,0,0,0,6,7.35,90.7,120.8,failed
build-0034,2024-01-01T13:16:00,pipe-b745f,757199c105475a3dd0296973a3681791275c6675,4,android,2136.0,1,feature/db,0,0,0,60,1982,257,0.84,0,110,21,1,1,0,1,0,0,1,2,3,0,0,1,0,13,20.43,95.2,122.8,skipped
build-0035,2024-01-01T13:47:00,pipe-19919,dd6c5cdb60d7097320f1b1e3a95c304e22f8782f,3,react-native,860.3,0,feature/analytics,0,0,1,39,1339,352,0.56,0,176,11,1,1,0,0,0,0,0,1,2,0,0,1,1,13,6.4,89.8,36.6,running
build-0036,2024-01-01T07:36:00,pipe-a0ff3,eaa8e26b7e2cd07b15db732d3daf2e37c4f55b52,0,python,443.9,0,main,2,1,0,35,665,161,0.68,1,38,14,1,1,0,0,1,1,0,1,3,1,0,0,1,7,4.91,88.4,103.3,success
build-0037,2024-01-01T09:23:00,pipe-3d719,b581e2ad079bb1d8ce9cfc008072f5270a9b9487,1,java,471.1,0,feature/mobile,0,0,2,3,35,11,0.51,0,62,0,1,1,1,0,1,0,0,1,4,0,0,1,0,9,4.45,61.9,30.7,success
build-0038,2024-01-01T09:33:00,pipe-9ddbf,9ffc57bd0ceee19647a5c705aa084408bbac4d8c,3,react-native,225.8,0,hotfix/fix,3,0,1,11,669,229,0.53,0,215,0,1,0,0,0,0,1,1,2,1,0,0,1,0,9,14.39,81.5,74.8,failed
build-0039,2024-01-01T10:03:00,pipe-64886,458e0426a45a5597102661a17c16345b968a00c0,0,python,353.9,0,hotfix/patch,3,1,2,3,52,25,0.81,0,37,0,1,1,0,0,1,0,0,1,3,0,0,1,0,10,1.86,60.2,9.5,failed
build-0040,2024-01-01T14:38:00,pipe-c897e,344c88fa6c793494a3e86b598112d3b951649a4b,1,java,1356.5,0,master,2,1,2,15,231,55,0.75,1,69,3,1,1,0,0,1,0,0,2,3,1,0,1,1,14,5.01,84.5,72.9,success
build-0041,2024-01-01T13:27:00,pipe-d9e03,e6d828102e89830715aff02d0fdd16bf8a5b9202,2,nodejs,225.9,0,feature/db,0,1,0,3,97,22,0.92,0,184,0,1,0,1,1,1,0,0,1,4,1,0,1,0,13,7.02,70.4,23.8,success
build-0042,2024-01-01T08:27:00,pipe-89947,0417ffd211994e1ac36ea63150155a176f0e75ee,0,python,261.0,0,feature/db,0,0,1,2,37,7,0.55,0,47,0,1,1,0,0,0,1,0,1,2,0,1,0,0,8,5.74,56.9,63.5,skipped
build-0043,2024-01-01T14:12:00,pipe-246d4,1ed0c754a64a5560feb4f3bfc73eba693acde8bb,2,nodejs,464.8,0,master,2,1,1,4,80,20,0.54,0,172,0,1,1,1,1,1,1,0,3,5,1,0,1,0,14,7.12,71.2,54.2,skipped
build-0044,2024-01-01T15:32:00,pipe-d406a,6f473c09d175d0b540f825759fb541402b5c1e91,0,python,326.3,0,feature/search,0,0,1,40,335,149,0.78,1,37,11,1,1,1,0,1,0,0,2,4,0,0,1,0,15,2.91,49.6,9.0,failed
build-0045,2024-01-01T09:33:00,pipe-a3e1f,449332165a9db916bf28bd23eb413760598d7ad5,3,react-native,265.0,0,main,2,1,0,74,1344,235,0.77,0,254,21,1,1,0,0,1,0,1,2,3,1,0,1,1,9,19.2,100.0,231.7,running
build-0046,2024-01-01T13:24:00,pipe-6833b,5ae2cd241631be714fa931daa20b97faf005374b,0,python,210.3,0,release/v3.4.12,4,1,0,22,88,29,0.56,0,64,7,1,1,0,0,1,1,0,2,3,1,0,1,0,13,4.18,78.0,38.8,success
build-0047,2024-01-01T08:10:00,pipe-15c8e,e317cf15a6b68fad5e8481a3b71cf57f9c711fbc,3,react-native,2138.2,0,develop,1,1,1,2,24,3,0.88,1,232,0,1,0,0,1,0,0,1,1,2,1,0,0,0,8,16.68,100.0,111.7,failed
build-0048,2024-01-01T08:12:00,pipe-d3807,a07e05b701c62eb6cd1f181e240fac44b7fb9968,3,react-native,580.1,0,feature/cache,0,0,0,25,763,283,0.76,0,232,9,1,1,0,1,0,0,0,2,3,0,0,1,0,8,12.02,80.5,39.3,failed
build-0049,2024-01-01T01:21:00,pipe-ba936,75c798332b4f1fc2e9a7d4a27426ad907915793c,5,ios,1493.7,0,release/v3.0.20,4,1,2,15,933,423,0.92,0,56,3,1,1,0,1,1,0,1,1,4,1,0,1,0,1,11.86,82.8,65.8,running
build-0050,2024-01-01T15:32:00,pipe-5b631,e6240cb5ddf2aa71fedb1b7248a1b2a4e87993c8,5,ios,2506.3,0,develop,1,0,2,3,20,2,0.69,0,58,0,1,1,0,0,1,0,1,1,3,0,0,1,0,15,11.34,72.9,15.6,success
build-0051,2024-01-02T08:22:00,pipe-6d618,5481389d49219c564c490f2c8cc990a83cf9e33a,1,java,53.1,0,develop,1,0,2,17,43,10,0.53,0,87,3,1,1,1,0,0,1,0,1,3,0,0,1,0,8,6.33,82.7,22.0,running
build-0052,2024-01-02T06:25:00,pipe-99252,54828f93c98595ebb7da572d7d50122f3f8c4b22,2,nodejs,509.1,0,release/v2.7.15,4,1,1,31,264,30,0.79,0,182,5,1,1,0,0,1,1,0,1,3,0,0,1,0,6,3.97,61.2,24.3,failed
build-0053,2024-01-02T16:03:00,pipe-865f0,0a33fabc6b4d5d58bd55033a78974aed667ac0f3,2,nodejs,402.0,0,release/v4.5.5,4,1,0,3,44,12,0.82,1,144,0,1,1,1,0,1,0,0,3,4,0,0,1,1,16,4.87,91.0,42.3,failed
build-0054,2024-01-02T09:31:00,pipe-cc2ac,0aa8584da63332acd5abd106b1d565dc6751fa5a,3,react-native,1587.9,0,master,2,1,1,78,324,120,0.93,0,231,25,1,1,1,0,1,0,1,1,4,1,0,1,0,9,14.24,95.4,137.4,running
build-0055,2024-01-02T11:50:00,pipe-4147e,1b3bf9c6bfddff21fc5ef3b1cf97e4b73e8cb57c,4,android,1375.4,0,hotfix/bug,3,0,2,41,1377,329,0.53,0,123,16,1,0,1,0,0,0,0,2,2,0,0,1,0,11,10.27,90.0,33.6,success
build-0056,2024-01-02T15:49:00,pipe-30a66,aa94e23de9b439556a26f2081a92ac18de6aec7d,2,nodejs,635.7,0,main,2,1,1,34,425,173,0.87,1,192,11,1,1,1,0,1,0,0,1,4,1,0,1,0,15,3.35,73.4,15.9,failed
build-0057,2024-01-02T12:53:00,pipe-b417e,0bb12053a45f78a355da693cc12d9847b4be43d1,4,android,2219.8,0,feature/payment,0,0,0,5,40,6,0.64,0,100,1,1,1,1,1,1,0,0,1,5,0,0,1,1,12,22.53,86.4,176.5,skipped
build-0058,2024-01-02T13:20:00,pipe-be6af,a61542899ed5aaa39db856984ce07966f1539991,0,python,49.8,0,develop,1,0,1,26,309,86,0.81,1,47,7,1,1,1,0,0,0,0,1,3,0,0,1,0,13,3.02,45.0,23.9,running
build-0059,2024-01-02T07:22:00,pipe-0840a,e4b448036526df2865ffff06a757de2add54c883,0,python,191.6,0,feature/fix,0,1,2,37,743,167,0.84,0,50,11,1,1,0,0,1,1,0,2,3,0,0,0,0,7,3.93,58.3,94.1,running
build-0060,2024-01-02T06:12:00,pipe-25332,74e853a5d3e508b8e96f900313170702955ae969,2,nodejs,235.7,1,master,2,1,0,5,62,25,0.63,0,166,0,1,1,1,1,1,0,0,1,5,1,0,1,0,6,10.92,80.3,74.7,failed
build-0061,2024-01-02T14:55:00,pipe-ce67d,8879d043e8c6fb2153b7c759aa61d648adbdee11,0,python,29.1,0,develop,1,1,1,5,73,21,0.75,0,35,1,1,1,0,0,0,1,0,1,2,1,0,1,0,14,3.33,71.9,24.9,failed
build-0062,2024-01-02T09:08:00,pipe-e7cd9,39a1924c139177187bf966f54ab2aa1bc99be76f,5,ios,2904.5,0,develop,1,0,0,8,400,43,0.64,1,66,2,1,1,0,0,0,0,0,2,2,0,0,1,1,9,11.53,90.9,101.8,success
build-0063,2024-01-02T15:18:00,pipe-b408a,6e517fcb0a9c235cd7289a9d040677b5d5ba1b24,1,java,784.8,0,feature/analytics,0,0,0,15,619,252,0.82,0,79,4,1,1,1,0,0,0,0,1,3,0,0,1,0,15,6.24,88.0,40.3,success
build-0064,2024-01-02T09:14:00,pipe-f741a,79a431f0064fe7c11701ccb8832d4c2987aa1a8d,3,react-native,2942.5,0,develop,1,0,0,5,94,19,0.55,0,168,0,1,0,0,1,1,0,1,2,3,0,0,1,0,9,10.41,93.1,58.1,skipped
build-0065,2024-01-02T19:50:00,pipe-56ec9,0a5c9a2aa6739dc3b072b8596112e64194efdb9f,2,nodejs,89.4,0,master,2,1,1,50,96,34,0.6,0,181,8,1,1,0,0,1,0,0,2,3,1,0,0,0,19,3.8,51.3,56.1,running
build-0066,2024-01-02T09:32:00,pipe-912a8,666bc73b12dbf2c0bcdec6b3848b916f3dfe4839,3,react-native,2642.6,1,master,2,1,1,1,47,7,0.71,0,162,0,1,1,1,0,1,0,0,3,4,1,0,1,0,9,13.14,100.0,120.3,running
build-0067,2024-01-02T04:23:00,pipe-849c7,1f087c71577fcca417966fe0d05527a2f0b4b7bd,1,java,410.3,0,main,2,1,0,4,252,72,0.57,0,100,1,1,1,1,0,1,1,0,2,4,1,0,1,0,4,7.08,92.8,76.8,skipped
build-0068,2024-01-02T06:54:00,pipe-f37ee,fb3d9f283108ea0eff38d4bcec20cedb71630713,0,python,232.9,0,hotfix/fix,3,0,1,34,725,177,0.91,1,59,14,1,1,0,0,0,0,0,1,2,0,0,1,0,6,1.4,46.1,4.8,failed
build-0069,2024-01-02T10:18:00,pipe-92ee5,7bec02ac953e3adbf68abe9ae3c1169e36ce102c,2,nodejs,470.7,0,develop,1,0,0,1,100,18,0.53,0,168,0,1,1,0,0,0,0,0,2,2,0,0,1,1,10,3.27,35.3,23.0,running
build-0070,2024-01-02T13:29:00,pipe-9096a,51918633dd1b10fbf5fa7848f7165af79edd80b5,2,nodejs,305.8,0,master,2,1,0,9,750,368,0.88,0,193,2,1,1,0,0,1,1,0,3,3,1,0,1,0,13,4.16,66.4,14.6,running
build-0071,2024-01-02T05:33:00,pipe-c4b37,f0d334a314195b9b0849a1d3457aa139569b4589,2,nodejs,531.6,0,hotfix/bug,3,1,1,49,889,364,0.56,0,126,0,1,0,0,1,1,0,0,1,3,1,1,0,0,5,9.78,85.6,112.7,skipped
build-0072,2024-01-02T12:35:00,pipe-50fe5,3b8e944b87454fd84822c36f745215d70b77289f,2,nodejs,477.4,0,feature/auth,0,0,1,49,555,160,0.88,0,168,19,1,1,0,0,1,0,0,2,3,0,0,1,0,12,3.79,49.7,9.8,success
build-0073,2024-01-02T18:44:00,pipe-b84a0,457ea894aaa7f35c817ba57418056a46ebbeb687,1,java,446.5,0,master,2,1,0,38,1154,215,0.59,0,70,16,1,1,0,1,1,0,0,2,4,1,0,1,1,18,4.27,70.5,81.3,failed
build-0074,2024-01-02T05:14:00,pipe-d349d,01e346f317ce9f06a9ddf39294f8ae3b747b78f4,1,java,1562.3,0,release/v2.8.10,4,1,2,3,57,6,0.89,0,56,0,1,1,1,0,1,0,0,1,4,0,0,1,0,5,6.34,93.8,34.4,skipped
build-0075,2024-01-02T05:40:00,pipe-39055,29854ee2551aadb3c43f0efe860417353feba5eb,0,python,472.3,0,feature/perf,0,0,0,35,662,319,0.74,0,37,13,1,1,0,0,0,0,0,1,2,0,0,1,0,5,1.1,30.2,4.5,failed
build-0076,2024-01-02T09:29:00,pipe-efee5,0448b5aedffe2efd6a31ebe1e9e9ed9e0531c26a,1,java,939.2,1,hotfix/bug,3,0,0,3,7,2,0.81,0,101,0,1,1,0,0,0,1,0,2,2,0,1,0,0,9,13.4,70.7,75.2,success
build-0077,2024-01-02T14:42:00,pipe-7c29e,e343377e5c936f1668d341a7e8071921e0b317fd,0,python,157.0,0,main,2,1,1,4,60,21,0.65,0,64,1,1,1,0,0,1,1,0,2,3,1,1,0,1,14,8.34,72.0,266.9,success
build-0078,2024-01-02T15:28:00,pipe-97721,227abe432c407d60732696405905bde255e36871,4,android,1115.1,1,feature/test,0,1,0,89,1493,196,0.84,0,75,19,1,1,0,0,1,0,1,2,3,1,0,1,0,15,17.96,100.0,181.0,success
build-0079,2024-01-02T10:32:00,pipe-e72b8,9d67ff4bc2f02c51a66c8ea62b04a8dc559a8e2b,5,ios,1352.4,0,develop,1,0,0,24,228,31,0.92,0,69,4,1,1,1,0,0,0,1,1,3,0,0,1,0,10,6.7,72.9,52.0,success
build-0080,2024-01-02T14:40:00,pipe-87705,e49e0a07cafc68a1a0e7d47d6fba73ff50602dee,5,ios,1831.1,0,hotfix/urgent,3,0,0,3,39,11,0.53,0,57,0,1,0,1,0,0,0,0,1,2,0,0,1,0,14,6.62,67.6,29.2,success
build-0081,2024-01-02T09:35:00,pipe-de71c,bf862926e62d46592f1e01c246bc4128ec3f65a9,0,python,159.3,0,release/v4.1.4,4,1,1,4,45,9,0.81,0,52,0,1,1,0,0,1,1,0,3,3,1,0,0,1,9,4.77,94.2,113.5,success
build-0082,2024-01-02T06:23:00,pipe-6ad6d,097fef699808389c11952e9c3b500544872da695,4,android,1127.3,0,develop,1,0,0,10,929,461,0.72,0,100,4,1,1,1,0,0,0,1,1,3,0,0,1,0,6,20.3,89.8,102.3,success
build-0083,2024-01-02T13:18:00,pipe-c2219,83423c0407db2108cb67b1066be7d115a7d68fc6,1,java,1549.5,0,release/v5.1.3,4,1,2,2,70,27,0.75,0,66,0,1,1,1,1,1,0,0,2,5,0,0,1,1,13,7.02,100.0,93.4,failed
build-0084,2024-01-02T14:29:00,pipe-2b8a8,5c28f1417bc4daa9c1e3ab9d4059ec0c6e91a311,1,java,1473.8,0,feature/login,0,0,0,3,87,12,0.86,0,91,0,1,1,0,0,0,1,0,2,2,0,0,1,0,14,6.21,64.9,27.8,failed
build-0085,2024-01-02T05:22:00,pipe-76eb7,fccb07ef48e21ea9089a1328d790b6a59bc59476,3,react-native,640.5,0,main,2,1,0,1,73,12,0.65,0,171,0,1,1,0,0,1,0,1,1,3,1,0,1,0,5,16.9,98.4,108.6,failed
build-0086,2024-01-02T07:08:00,pipe-22281,62cc07cda47e9b50b7fe756ae80323ce27a90f35,2,nodejs,542.1,0,develop,1,0,2,4,59,10,0.79,0,163,0,1,0,0,0,0,1,0,1,1,0,0,1,0,7,5.0,61.6,9.9,running
build-0087,2024-01-02T06:07:00,pipe-6c0d9,ff97cc2dc09e337fdb8ccf97149a4a8b485f212d,0,python,434.1,0,main,2,1,1,1,33,7,0.62,0,40,0,1,1,1,0,1,0,0,2,4,1,0,1,0,6,3.37,75.9,32.5,skipped
build-0088,2024-01-02T06:27:00,pipe-287d4,e6bdfd81ec0c1f637d679646207738ccacf5b2b2,3,react-native,1163.9,0,feature/mobile,0,0,2,1,61,27,0.55,0,165,0,1,1,0,0,0,1,0,1,2,0,0,0,0,6,8.69,75.7,81.6,failed
build-0089,2024-01-02T15:36:00,pipe-1bedc,d4e6f68344c43fdcf9d9cdaf2866e527075efacc,0,python,289.3,0,release/v2.3.1,4,1,0,4,288,128,0.56,0,42,1,1,1,1,0,1,1,0,3,4,0,0,1,0,15,5.49,83.8,45.3,running
build-0090,2024-01-02T06:57:00,pipe-2e8da,9f58f7854de7100181eb02b7b9da0757b706ff01,5,ios,1937.5,0,release/v4.7.2,4,1,1,47,948,335,0.81,0,70,12,1,1,1,1,1,0,1,2,5,1,1,0,0,6,21.38,100.0,307.6,running
build-0091,2024-01-02T07:00:00,pipe-6a0dc,0495b6eac058e59ded9b2a9d03ba812e4fc38ede,3,react-native,1915.9,0,main,2,1,0,3,16,5,0.61,0,248,0,1,1,0,1,1,0,0,2,4,1,0,1,0,7,11.17,93.6,106.1,success
build-0092,2024-01-02T07:13:00,pipe-623eb,cd73d850ed9ae65e8baa462a3b4c0c6a6e322083,2,nodejs,547.2,1,feature/cache,0,0,0,20,145,36,0.87,0,162,7,1,1,0,0,0,1,0,2,2,0,0,1,0,7,2.66,61.9,18.4,skipped
build-0093,2024-01-02T20:47:00,pipe-d8815,ad0778b1c3216341ae3137f9b33dde3201b36e4d,0,python,311.9,0,master,2,1,1,5,81,27,0.77,0,55,2,1,1,0,0,1,1,0,2,3,0,0,1,0,20,4.98,67.9,28.8,failed
build-0094,2024-01-02T20:40:00,pipe-6a5aa,7f743165ce6b069631fa95f0d9693862650bb184,1,java,1911.6,0,feature/payment,0,0,2,44,363,147,0.93,0,56,7,1,1,1,0,0,0,0,1,3,0,0,0,0,20,5.05,61.2,43.0,skipped
build-0095,2024-01-02T12:47:00,pipe-eeb2e,bfc4ba99ba530e66db9b99cd4aa5873269f98890,0,python,323.9,0,release/v4.6.2,4,1,0,5,322,122,0.83,0,36,0,1,1,1,1,1,0,0,1,5,1,0,1,0,12,3.3,64.2,26.8,success
build-0096,2024-01-02T12:10:00,pipe-c0989,6688eb4e6a7393bfc254d5d855e9ac99969c07b2,5,ios,2134.3,1,feature/auth,0,0,1,4,39,12,0.62,0,64,0,1,0,0,0,0,0,1,1,1,0,0,1,0,12,8.02,65.3,19.1,success
build-0097,2024-01-02T12:14:00,pipe-aba7c,f8ae0ed7683973f6e283dc53300223f748025038,2,nodejs,190.4,0,main,2,1,0,42,434,82,0.61,0,133,16,1,1,0,1,1,0,0,1,4,1,0,1,0,12,6.29,72.4,33.0,failed
build-0098,2024-01-02T16:48:00,pipe-38f92,88d6c37490fc8e5121ae5da07a1606569bdc5d21,4,android,2379.0,0,feature/fix,0,1,0,100,410,161,0.75,0,79,42,1,1,1,0,1,0,1,1,4,1,0,1,0,16,13.55,100.0,127.6,success
build-0099,2024-01-02T11:16:00,pipe-a8ca9,cf3d9e92bf83fe5b0a049e13fa7ac30cfada334b,2,nodejs,92.1,0,master,2,1,0,30,770,103,0.54,1,178,5,1,1,1,1,1,0,0,1,5,1,0,1,0,11,6.27,81.5,53.6,skipped
build-0100,2024-01-02T22:54:00,pipe-88b48,f25d04e85adc35a53e417cc012eff3732a157b98,1,java,1416.4,0,master,2,1,0,3,31,8,0.71,0,60,1,1,1,1,1,1,1,0,3,5,1,0,1,0,22,5.22,93.3,63.7,success
